generation,best_iparams_ever,best_params,best_fitness,best_fitness_ever
1,"[0.23056219111307208, -1.8995872780714627, 0.8594857146132378, 1.0153107233298146, -1.1874261081377817, -0.5660434725918648, -0.6936447924580684, -1.108785547176772, -0.1832750628866786, 1.7862380013203003, -1.4139011730631772, -0.037375077965509096, -1.4200410155179215, -1.3062371608380703, 0.25212124786799706, 1.0526135277022135, -0.09424439460808842, 0.8971457235079026, 1.5545116318893522, 1.3328913067715926, 0.9390023452722374, -0.8608736147731395, 1.5697708355202038, -0.34199060180985175, -1.0072118423286809, 1.0281424658171128, 0.015873975504293147]","[0.23056219111307208, -1.8995872780714627, 0.8594857146132378, 1.0153107233298146, -1.1874261081377817, -0.5660434725918648, -0.6936447924580684, -1.108785547176772, -0.1832750628866786, 1.7862380013203003, -1.4139011730631772, -0.037375077965509096, -1.4200410155179215, -1.3062371608380703, 0.25212124786799706, 1.0526135277022135, -0.09424439460808842, 0.8971457235079026, 1.5545116318893522, 1.3328913067715926, 0.9390023452722374, -0.8608736147731395, 1.5697708355202038, -0.34199060180985175, -1.0072118423286809, 1.0281424658171128, 0.015873975504293147]",6.045039809100403,6.045039809100403
"[0.23056219111307208, -1.8995872780714627, 0.8594857146132378, 1.0153107233298146, -1.1874261081377817, -0.5660434725918648, -0.6936447924580684, -1.108785547176772, -0.1832750628866786, 1.7862380013203003, -1.4139011730631772, -0.037375077965509096, -1.4200410155179215, -1.3062371608380703, 0.25212124786799706, 1.0526135277022135, -0.09424439460808842, 0.8971457235079026, 1.5545116318893522, 1.3328913067715926, 0.9390023452722374, -0.8608736147731395, 1.5697708355202038, -0.34199060180985175, -1.0072118423286809, 1.0281424658171128, 0.015873975504293147]",6.045039809100403,2,5.905496380406374,"[0.747282613503732, -1.7099716220729797, -1.530392859720214, 1.9721646224323965, -1.44706219858177, 1.553280006404473, 1.0624518411565251, -0.4598061696027149, -0.7815191433863555, 1.886019991934691, 0.8444926182705124, -1.5129600586761036, 1.0331282583256454, -0.007743502393458002, -1.081673693896338, -0.07678533642975793, 0.2637827873261531, -0.6995917480838642, -0.5180177972296087, -0.8605811776143252, -0.6766795113072415, 0.4496710246368121, 0.9517759382063655, 0.5854163061644431, -1.174495699714425, 1.0411528652709867, -0.47664351153526896]"
"[0.23056219111307208, -1.8995872780714627, 0.8594857146132378, 1.0153107233298146, -1.1874261081377817, -0.5660434725918648, -0.6936447924580684, -1.108785547176772, -0.1832750628866786, 1.7862380013203003, -1.4139011730631772, -0.037375077965509096, -1.4200410155179215, -1.3062371608380703, 0.25212124786799706, 1.0526135277022135, -0.09424439460808842, 0.8971457235079026, 1.5545116318893522, 1.3328913067715926, 0.9390023452722374, -0.8608736147731395, 1.5697708355202038, -0.34199060180985175, -1.0072118423286809, 1.0281424658171128, 0.015873975504293147]",6.045039809100403,3,5.890378585029637,"[0.5374599941974265, 1.656074345303363, -0.8633153149563455, -0.7523981209424258, 1.0272041897788804, -0.11566162032652905, 1.6520233247446985, 0.05463778652776474, -0.895386802419043, 1.582848422076744, 0.4486311603471309, -0.17565831578956148, 1.3179880362560925, -0.6790253776938182, -0.927974989450087, -0.9188338159431343, -0.755001958072533, 0.9284038794166589, 0.9826017103578102, -1.0307786679973723, -1.0936698347783222, -0.9849463730802551, -1.5426812336940066, 0.2881839700611357, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]"
"[0.23056219111307208, -1.8995872780714627, 0.8594857146132378, 1.0153107233298146, -1.1874261081377817, -0.5660434725918648, -0.6936447924580684, -1.108785547176772, -0.1832750628866786, 1.7862380013203003, -1.4139011730631772, -0.037375077965509096, -1.4200410155179215, -1.3062371608380703, 0.25212124786799706, 1.0526135277022135, -0.09424439460808842, 0.8971457235079026, 1.5545116318893522, 1.3328913067715926, 0.9390023452722374, -0.8608736147731395, 1.5697708355202038, -0.34199060180985175, -1.0072118423286809, 1.0281424658171128, 0.015873975504293147]",6.045039809100403,4,6.000607180405579,"[0.5772204251617121, 1.656074345303363, -0.8633153149563455, -0.7523981209424258, -0.3838322082851824, 1.3958885601307904, -1.6536117000325432, 0.5484553038207318, 1.114215653717078, 0.5888180321470577, -1.6238233854408382, 1.5083641997676542, -0.07536268385726519, 0.7009036261663995, 0.5365655564774312, -0.2900451436061906, -0.16125150478777983, 0.18491665189795192, 0.430757157567347, 1.3398000441400217, 0.06598863777940323, 1.5547591423728409, -0.07112546500256478, -0.05443359823476723, 0.243491677616122, 1.431226651290714, -0.027840695523807968]"
"[0.5374599941974265, 1.656074345303363, -0.8633153149563455, -0.7523981209424258, 1.0272041897788804, -0.11566162032652905, -0.15489672782390995, 0.245137514567368, 1.2453966427886094, -0.6084317878722505, 0.7215585579409697, 0.41888516510897933, -1.0450903996197756, 0.5969403661628614, -0.9683050079859697, -0.44131861474142275, -0.2164178008587736, -0.07248275340476695, 1.1690275775635204, -1.3710552417808062, 1.3321706369077728, -1.0724634721419388, -0.913839337988459, -1.4684663273587386, 1.1996147055882944, 1.564823395625297, 0.2988271610856441]",6.136693072729806,5,6.136693072729806,"[0.5374599941974265, 1.656074345303363, -0.8633153149563455, -0.7523981209424258, 1.0272041897788804, -0.11566162032652905, -0.15489672782390995, 0.245137514567368, 1.2453966427886094, -0.6084317878722505, 0.7215585579409697, 0.41888516510897933, -1.0450903996197756, 0.5969403661628614, -0.9683050079859697, -0.44131861474142275, -0.2164178008587736, -0.07248275340476695, 1.1690275775635204, -1.3710552417808062, 1.3321706369077728, -1.0724634721419388, -0.913839337988459, -1.4684663273587386, 1.1996147055882944, 1.564823395625297, 0.2988271610856441]"
"[0.5374599941974265, 1.656074345303363, -0.8633153149563455, -0.7523981209424258, 1.0272041897788804, -0.11566162032652905, -0.15489672782390995, 0.245137514567368, 1.2453966427886094, -0.6084317878722505, 1.8065560676398258, 1.7356982596053845, 1.7374270441590105, 0.5969403661628614, -0.9683050079859697, -0.44131861474142275, -0.2164178008587736, -0.07248275340476695, 1.1690275775635204, -1.3710552417808062, 1.3321706369077728, -1.0724634721419388, -0.913839337988459, -1.4684663273587386, 1.1996147055882944, 1.564823395625297, 0.2988271610856441]",6.19511169969703,6,6.19511169969703,"[0.5374599941974265, 1.656074345303363, -0.8633153149563455, -0.7523981209424258, 1.0272041897788804, -0.11566162032652905, -0.15489672782390995, 0.245137514567368, 1.2453966427886094, -0.6084317878722505, 1.8065560676398258, 1.7356982596053845, 1.7374270441590105, 0.5969403661628614, -0.9683050079859697, -0.44131861474142275, -0.2164178008587736, -0.07248275340476695, 1.1690275775635204, -1.3710552417808062, 1.3321706369077728, -1.0724634721419388, -0.913839337988459, -1.4684663273587386, 1.1996147055882944, 1.564823395625297, 0.2988271610856441]"
"[0.4787101675465735, 1.515529687697486, 0.01635411858973157, -0.6317555840110529, 0.167645396722099, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7146741572622597, 1.0485611742743632, 1.8065560676398258, 1.7356982596053845, 1.7374270441590105, 0.5969403661628614, -0.9683050079859697, 1.2727874442919842, -0.16485211757632623, -0.07012562503075404, 1.2303605572851737, 0.8888382335906404, -0.3320301115077877, -0.8115740474944654, -0.78400819021247, -0.7379398430152566, 1.3873522649003491, -0.2641007581615509, 0.33341698867707525]",6.472000880976866,7,6.472000880976866,"[0.4787101675465735, 1.515529687697486, 0.01635411858973157, -0.6317555840110529, 0.167645396722099, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7146741572622597, 1.0485611742743632, 1.8065560676398258, 1.7356982596053845, 1.7374270441590105, 0.5969403661628614, -0.9683050079859697, 1.2727874442919842, -0.16485211757632623, -0.07012562503075404, 1.2303605572851737, 0.8888382335906404, -0.3320301115077877, -0.8115740474944654, -0.78400819021247, -0.7379398430152566, 1.3873522649003491, -0.2641007581615509, 0.33341698867707525]"
"[0.5374599941974265, 1.656074345303363, -0.19735343142062778, -1.6206785462817241, 0.8716434386197909, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7356982596053845, 1.7323618449410634, -0.6790253776938182, -0.927974989450087, 1.2727874442919842, -0.16485211757632623, -0.07012562503075404, 1.2303605572851737, 0.8888382335906404, -0.3320301115077877, -0.03326104200578972, -1.5069193898810114, 0.14056978454914093, 0.8471893656197003, 0.8808520164015299, 0.5849326371057528]",6.6558125203828595,8,6.6558125203828595,"[0.5374599941974265, 1.656074345303363, -0.19735343142062778, -1.6206785462817241, 0.8716434386197909, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7356982596053845, 1.7323618449410634, -0.6790253776938182, -0.927974989450087, 1.2727874442919842, -0.16485211757632623, -0.07012562503075404, 1.2303605572851737, 0.8888382335906404, -0.3320301115077877, -0.03326104200578972, -1.5069193898810114, 0.14056978454914093, 0.8471893656197003, 0.8808520164015299, 0.5849326371057528]"
"[0.5374599941974265, 1.656074345303363, -0.19735343142062778, -1.6206785462817241, 0.8716434386197909, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7356982596053845, 1.7323618449410634, -0.6790253776938182, -0.927974989450087, 1.2676443115175928, -0.16485211757632623, -0.07012562503075404, 1.2303605572851737, 1.252324669858377, 0.16012344905696407, -0.03326104200578972, -1.5069193898810114, 0.14056978454914093, 0.8471893656197003, 0.8808520164015299, 0.5849326371057528]",6.6855302555411935,9,6.6855302555411935,"[0.5374599941974265, 1.656074345303363, -0.19735343142062778, -1.6206785462817241, 0.8716434386197909, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7356982596053845, 1.7323618449410634, -0.6790253776938182, -0.927974989450087, 1.2676443115175928, -0.16485211757632623, -0.07012562503075404, 1.2303605572851737, 1.252324669858377, 0.16012344905696407, -0.03326104200578972, -1.5069193898810114, 0.14056978454914093, 0.8471893656197003, 0.8808520164015299, 0.5849326371057528]"
"[0.5374599941974265, 1.656074345303363, -0.19735343142062778, -1.6206785462817241, 0.8716434386197909, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7356982596053845, 1.7323618449410634, -0.6790253776938182, -0.927974989450087, 1.2676443115175928, -0.16485211757632623, -0.07012562503075404, 1.2303605572851737, 1.252324669858377, 0.16012344905696407, -0.03326104200578972, -1.5069193898810114, 0.14056978454914093, 0.8471893656197003, 0.8808520164015299, 0.5849326371057528]",6.6855302555411935,10,6.652025504763469,"[0.5374599941974265, 1.656074345303363, -0.19735343142062778, -1.6206785462817241, 0.8716434386197909, -1.1012276295875885, 1.6216157544534848, 0.8757499127782373, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7356982596053845, 1.7323618449410634, -0.6790253776938182, -0.927974989450087, 1.2727874442919842, -0.16485211757632623, -0.07012562503075404, 1.2303605572851737, 0.8888382335906404, -0.3320301115077877, -0.03326104200578972, -1.5069193898810114, 0.14056978454914093, 0.8471893656197003, 0.8808520164015299, 0.5849326371057528]"
