generation,best_params,best_iparams_ever,best_fitness,best_fitness_ever
1,"[0.23056219111307208, -1.8995872780714627, 0.8594857146132378, 1.0153107233298146, -1.1874261081377817, -0.5660434725918648, -0.6936447924580684, -1.108785547176772, -0.1832750628866786, 1.7862380013203003, -1.4139011730631772, -0.037375077965509096, -1.4200410155179215, -1.3062371608380703, 0.25212124786799706, 1.0526135277022135, -0.09424439460808842, 0.8971457235079026, 1.5545116318893522, 1.3328913067715926, 0.9390023452722374, -0.8608736147731395, 1.5697708355202038, -0.34199060180985175, -1.0072118423286809, 1.0281424658171128, 0.015873975504293147]","[0.23056219111307208, -1.8995872780714627, 0.8594857146132378, 1.0153107233298146, -1.1874261081377817, -0.5660434725918648, -0.6936447924580684, -1.108785547176772, -0.1832750628866786, 1.7862380013203003, -1.4139011730631772, -0.037375077965509096, -1.4200410155179215, -1.3062371608380703, 0.25212124786799706, 1.0526135277022135, -0.09424439460808842, 0.8971457235079026, 1.5545116318893522, 1.3328913067715926, 0.9390023452722374, -0.8608736147731395, 1.5697708355202038, -0.34199060180985175, -1.0072118423286809, 1.0281424658171128, 0.015873975504293147]",6.02815998401971,6.02815998401971
2,5.891860111214685,"[0.23056219111307208, -1.8995872780714627, 0.8594857146132378, 1.0153107233298146, -1.1874261081377817, -0.5660434725918648, -0.6936447924580684, -1.108785547176772, -0.1832750628866786, 1.7862380013203003, -1.4139011730631772, -0.037375077965509096, -1.4200410155179215, -1.3062371608380703, 0.25212124786799706, 1.0526135277022135, -0.09424439460808842, 0.8971457235079026, 1.5545116318893522, 1.3328913067715926, 0.9390023452722374, -0.8608736147731395, 1.5697708355202038, -0.34199060180985175, -1.0072118423286809, 1.0281424658171128, 0.015873975504293147]","[0.5374599941974265, 1.656074345303363, -0.8633153149563455, -0.7523981209424258, 1.0272041897788804, -0.11566162032652905, 1.6520233247446985, 0.05463778652776474, -0.895386802419043, 1.582848422076744, 0.4486311603471309, -0.17565831578956148, 1.3179880362560925, -0.6790253776938182, -0.927974989450087, -0.9188338159431343, -0.755001958072533, 0.9284038794166589, 0.9826017103578102, -1.0307786679973723, -1.0936698347783222, -0.9849463730802551, -1.5426812336940066, 0.2881839700611357, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]",6.02815998401971
3,5.891860111214685,"[0.23056219111307208, -1.8995872780714627, 0.8594857146132378, 1.0153107233298146, -1.1874261081377817, -0.5660434725918648, -0.6936447924580684, -1.108785547176772, -0.1832750628866786, 1.7862380013203003, -1.4139011730631772, -0.037375077965509096, -1.4200410155179215, -1.3062371608380703, 0.25212124786799706, 1.0526135277022135, -0.09424439460808842, 0.8971457235079026, 1.5545116318893522, 1.3328913067715926, 0.9390023452722374, -0.8608736147731395, 1.5697708355202038, -0.34199060180985175, -1.0072118423286809, 1.0281424658171128, 0.015873975504293147]","[0.5374599941974265, 1.656074345303363, -0.8633153149563455, -0.7523981209424258, 1.0272041897788804, -0.11566162032652905, 1.6520233247446985, 0.05463778652776474, -0.895386802419043, 1.582848422076744, 0.4486311603471309, -0.17565831578956148, 1.3179880362560925, -0.6790253776938182, -0.927974989450087, -0.9188338159431343, -0.755001958072533, 0.9284038794166589, 0.9826017103578102, -1.0307786679973723, -1.0936698347783222, -0.9849463730802551, -1.5426812336940066, 0.2881839700611357, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]",6.02815998401971
4,5.995524186742566,"[0.23056219111307208, -1.8995872780714627, 0.8594857146132378, 1.0153107233298146, -1.1874261081377817, -0.5660434725918648, -0.6936447924580684, -1.108785547176772, -0.1832750628866786, 1.7862380013203003, -1.4139011730631772, -0.037375077965509096, -1.4200410155179215, -1.3062371608380703, 0.25212124786799706, 1.0526135277022135, -0.09424439460808842, 0.8971457235079026, 1.5545116318893522, 1.3328913067715926, 0.9390023452722374, -0.8608736147731395, 1.5697708355202038, -0.34199060180985175, -1.0072118423286809, 1.0281424658171128, 0.015873975504293147]","[0.5772204251617121, 1.656074345303363, -0.8633153149563455, -0.7523981209424258, -0.3838322082851824, 1.3958885601307904, -1.6536117000325432, 0.5484553038207318, 1.114215653717078, 0.5888180321470577, -1.6238233854408382, 1.5083641997676542, -0.07536268385726519, 0.7009036261663995, 0.5365655564774312, -0.2900451436061906, -0.16125150478777983, 0.18491665189795192, 0.430757157567347, 1.3398000441400217, 0.06598863777940323, 1.5547591423728409, -0.07112546500256478, -0.05443359823476723, 0.243491677616122, 1.431226651290714, -0.027840695523807968]",6.02815998401971
5,6.13020980877201,"[0.5374599941974265, 1.656074345303363, -0.8633153149563455, -0.7523981209424258, 1.0272041897788804, -0.11566162032652905, -0.15489672782390995, 0.245137514567368, 1.2453966427886094, -0.6084317878722505, 0.7215585579409697, 0.41888516510897933, -1.0450903996197756, -1.538268544926468, -1.4277579515053083, -0.5106738725362252, -0.09424439460808842, 0.8971457235079026, 1.5545116318893522, 1.098719914976773, -0.7613558329117551, 0.8593476703647194, 1.223233112888369, -0.21935057535310976, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]","[0.5374599941974265, 1.656074345303363, -0.8633153149563455, -0.7523981209424258, 1.0272041897788804, -0.11566162032652905, -0.15489672782390995, 0.245137514567368, 1.2453966427886094, -0.6084317878722505, 0.7215585579409697, 0.41888516510897933, -1.0450903996197756, -1.538268544926468, -1.4277579515053083, -0.5106738725362252, -0.09424439460808842, 0.8971457235079026, 1.5545116318893522, 1.098719914976773, -0.7613558329117551, 0.8593476703647194, 1.223233112888369, -0.21935057535310976, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]",6.13020980877201
6,6.13020980877201,"[0.5374599941974265, 1.656074345303363, -0.8633153149563455, -0.7523981209424258, 1.0272041897788804, -0.11566162032652905, -0.15489672782390995, 0.245137514567368, 1.2453966427886094, -0.6084317878722505, 0.7215585579409697, 0.41888516510897933, -1.0450903996197756, -1.538268544926468, -1.4277579515053083, -0.5106738725362252, -0.09424439460808842, 0.8971457235079026, 1.5545116318893522, 1.098719914976773, -0.7613558329117551, 0.8593476703647194, 1.223233112888369, -0.21935057535310976, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]","[0.5374599941974265, 1.656074345303363, -0.8633153149563455, -0.7523981209424258, 1.0272041897788804, -0.11566162032652905, -0.15489672782390995, 0.245137514567368, 1.2453966427886094, -0.6084317878722505, 0.7215585579409697, 0.41888516510897933, -1.0450903996197756, -1.538268544926468, -1.4277579515053083, -0.5106738725362252, -0.09424439460808842, 0.8971457235079026, 1.5545116318893522, 1.098719914976773, -0.7613558329117551, 0.8593476703647194, 1.223233112888369, -0.21935057535310976, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]",6.13020980877201
7,6.258474340382962,"[0.4562318998825736, 0.8053610621461309, 1.0385276700969808, -0.5781167441061883, 0.9682388583748556, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7356982596053845, 1.7374270441590105, 0.5969403661628614, -0.9683050079859697, 1.2727874442919842, -0.16485211757632623, -0.07012562503075404, 1.2303605572851737, 0.8888382335906404, -0.3320301115077877, 0.9589202047252425, 0.4917065974438972, 0.10236105966979703, 1.1996147055882944, 1.564823395625297, 0.2988271610856441]","[0.4562318998825736, 0.8053610621461309, 1.0385276700969808, -0.5781167441061883, 0.9682388583748556, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7356982596053845, 1.7374270441590105, 0.5969403661628614, -0.9683050079859697, 1.2727874442919842, -0.16485211757632623, -0.07012562503075404, 1.2303605572851737, 0.8888382335906404, -0.3320301115077877, 0.9589202047252425, 0.4917065974438972, 0.10236105966979703, 1.1996147055882944, 1.564823395625297, 0.2988271610856441]",6.258474340382962
8,6.23258871585433,"[0.4562318998825736, 0.8053610621461309, 1.0385276700969808, -0.5781167441061883, 0.9682388583748556, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7356982596053845, 1.7374270441590105, 0.5969403661628614, -0.9683050079859697, 1.2727874442919842, -0.16485211757632623, -0.07012562503075404, 1.2303605572851737, 0.8888382335906404, -0.3320301115077877, 0.9589202047252425, 0.4917065974438972, 0.10236105966979703, 1.1996147055882944, 1.564823395625297, 0.2988271610856441]","[0.4562318998825736, 0.8053610621461309, 1.0385276700969808, -0.5781167441061883, 0.9682388583748556, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7356982596053845, 1.7374270441590105, 0.5969403661628614, -0.9683050079859697, 1.2727874442919842, -0.16485211757632623, -0.07012562503075404, 1.2303605572851737, 0.8888382335906404, -0.3320301115077877, 0.9589202047252425, 0.4917065974438972, 0.10236105966979703, 1.1996147055882944, 1.564823395625297, 0.2988271610856441]",6.258474340382962
9,6.482104303447109,"[0.5777297125634809, 1.4886269683264208, -1.9350992671987846, -1.7879907229548442, -0.12087177455735665, -1.637438139688268, 1.6216157544534848, -0.1857644288272323, 1.7753622329821126, 1.0405822727416743, 1.8065560676398258, 1.7356982596053845, -1.983002574509618, 0.5969403661628614, -0.9683050079859697, -0.44131861474142275, -0.16485211757632623, -0.07012562503075404, 1.2303605572851737, 0.8888382335906404, -0.7613558329117551, 0.8593476703647194, -0.36541242038077404, -0.23123329132989046, -0.6001297121549032, 0.2372737188693157, -0.4395613012264299]","[0.5777297125634809, 1.4886269683264208, -1.9350992671987846, -1.7879907229548442, -0.12087177455735665, -1.637438139688268, 1.6216157544534848, -0.1857644288272323, 1.7753622329821126, 1.0405822727416743, 1.8065560676398258, 1.7356982596053845, -1.983002574509618, 0.5969403661628614, -0.9683050079859697, -0.44131861474142275, -0.16485211757632623, -0.07012562503075404, 1.2303605572851737, 0.8888382335906404, -0.7613558329117551, 0.8593476703647194, -0.36541242038077404, -0.23123329132989046, -0.6001297121549032, 0.2372737188693157, -0.4395613012264299]",6.482104303447109
10,6.638067201226023,"[0.5374599941974265, 1.656074345303363, -0.5382212270282265, -0.6317555840110529, 0.9682388583748556, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7210557838399716, -1.0450903996197756, -1.538268544926468, -1.4277579515053083, -0.5106738725362252, -0.09424439460808842, 0.8971457235079026, 1.5667046309651598, 1.098719914976773, -0.7605159973960619, 0.8593476703647194, -1.5426812336940066, 0.2881839700611357, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]","[0.5374599941974265, 1.656074345303363, -0.5382212270282265, -0.6317555840110529, 0.9682388583748556, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7210557838399716, -1.0450903996197756, -1.538268544926468, -1.4277579515053083, -0.5106738725362252, -0.09424439460808842, 0.8971457235079026, 1.5667046309651598, 1.098719914976773, -0.7605159973960619, 0.8593476703647194, -1.5426812336940066, 0.2881839700611357, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]",6.638067201226023
11,6.60646348971005,"[0.5374599941974265, 1.656074345303363, -0.5382212270282265, -0.6317555840110529, 0.9682388583748556, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7210557838399716, -1.0450903996197756, -1.538268544926468, -1.4277579515053083, -0.5106738725362252, -0.09424439460808842, 0.8971457235079026, 1.5667046309651598, 1.098719914976773, -0.7605159973960619, 0.8593476703647194, -1.5426812336940066, 0.2881839700611357, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]","[0.5374599941974265, 1.656074345303363, -0.8633153149563455, -0.7523981209424258, 1.0272041897788804, 0.42857160715537534, 1.671403399888233, 0.9601708667145283, 1.676112786094608, 0.24276294505192555, 1.7025612998235928, 0.41888516510897933, -1.0450903996197756, -1.538268544926468, -1.4277579515053083, -0.2900451436061906, -0.16125150478777983, 0.18491665189795192, 0.430757157567347, 1.3398000441400217, -0.33771558855029427, 0.006944204415784139, 0.7449850583298718, -0.6550636714983075, 0.15687245476397527, 0.4295922992734207, -1.053954058932678]",6.638067201226023
12,6.664179232426303,"[0.5374599941974265, 1.656074345303363, -1.3059548390450235, -1.7879907229548442, 0.9682388583748556, -1.637438139688268, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.582848422076744, 1.8065560676398258, -0.11209499495527853, -1.0450903996197756, -1.538268544926468, -1.4277579515053083, -0.5106738725362252, -0.09424439460808842, 0.8971457235079026, 1.5667046309651598, 1.098719914976773, -0.7605159973960619, 0.8593476703647194, -1.5426812336940066, 0.2881839700611357, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]","[0.5374599941974265, 1.656074345303363, -1.3059548390450235, -1.7879907229548442, 0.9682388583748556, -1.637438139688268, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.582848422076744, 1.8065560676398258, -0.11209499495527853, -1.0450903996197756, -1.538268544926468, -1.4277579515053083, -0.5106738725362252, -0.09424439460808842, 0.8971457235079026, 1.5667046309651598, 1.098719914976773, -0.7605159973960619, 0.8593476703647194, -1.5426812336940066, 0.2881839700611357, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]",6.664179232426303
13,6.733446045821713,"[0.5374599941974265, 1.656074345303363, -0.8633153149563455, -0.7523981209424258, 1.0272041897788804, -1.637438139688268, 1.671403399888233, 0.9601708667145283, 1.676112786094608, 0.24276294505192555, 1.7025612998235928, 0.41888516510897933, -1.0450903996197756, -1.538268544926468, -1.4277579515053083, -0.2900451436061906, -0.16125150478777983, 0.18491665189795192, 0.430757157567347, 1.3398000441400217, -0.33771558855029427, 0.006944204415784139, 0.7449850583298718, -0.6550636714983075, 0.15687245476397527, 0.4295922992734207, -1.053954058932678]","[0.5374599941974265, 1.656074345303363, -0.8633153149563455, -0.7523981209424258, 1.0272041897788804, -1.637438139688268, 1.671403399888233, 0.9601708667145283, 1.676112786094608, 0.24276294505192555, 1.7025612998235928, 0.41888516510897933, -1.0450903996197756, -1.538268544926468, -1.4277579515053083, -0.2900451436061906, -0.16125150478777983, 0.18491665189795192, 0.430757157567347, 1.3398000441400217, -0.33771558855029427, 0.006944204415784139, 0.7449850583298718, -0.6550636714983075, 0.15687245476397527, 0.4295922992734207, -1.053954058932678]",6.733446045821713
14,6.788328125361569,"[0.5374599941974265, 1.656074345303363, -0.5382212270282265, -0.6317555840110529, 0.9682388583748556, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7876845331690836, 1.0485611742743632, 1.7025612998235928, 0.41888516510897933, -1.0450903996197756, -1.538268544926468, -1.4277579515053083, -0.2900451436061906, -0.16125150478777983, 0.18491665189795192, 0.430757157567347, 1.3398000441400217, -0.33771558855029427, 0.006944204415784139, 0.7449850583298718, -0.6550636714983075, 0.15687245476397527, 0.4295922992734207, 0.8138353679078616]","[0.5374599941974265, 1.656074345303363, -0.5382212270282265, -0.6317555840110529, 0.9682388583748556, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7876845331690836, 1.0485611742743632, 1.7025612998235928, 0.41888516510897933, -1.0450903996197756, -1.538268544926468, -1.4277579515053083, -0.2900451436061906, -0.16125150478777983, 0.18491665189795192, 0.430757157567347, 1.3398000441400217, -0.33771558855029427, 0.006944204415784139, 0.7449850583298718, -0.6550636714983075, 0.15687245476397527, 0.4295922992734207, 0.8138353679078616]",6.788328125361569
15,6.775693334144316,"[0.5374599941974265, 1.656074345303363, -0.5382212270282265, -0.6317555840110529, 0.9682388583748556, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7876845331690836, 1.0485611742743632, 1.7025612998235928, 0.41888516510897933, -1.0450903996197756, -1.538268544926468, -1.4277579515053083, -0.2900451436061906, -0.16125150478777983, 0.18491665189795192, 0.430757157567347, 1.3398000441400217, -0.33771558855029427, 0.006944204415784139, 0.7449850583298718, -0.6550636714983075, 0.15687245476397527, 0.4295922992734207, 0.8138353679078616]","[0.5371633508446183, 1.656074345303363, -1.3059548390450235, -1.7879907229548442, 0.9682388583748556, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.676112786094608, 0.24276294505192555, 1.7025612998235928, 0.8763986863408313, -0.07810318350734002, 0.5969403661628614, -0.9683050079859697, 0.14006780025431254, 0.420068814008854, 0.9005584695568913, 1.5667046309651598, 1.098719914976773, -0.7605159973960619, 0.8593476703647194, -1.5426812336940066, 0.2881839700611357, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]",6.788328125361569
