best_fitness,best_params,best_fitness_ever,generation,best_iparams_ever
6.140061157682068,"[0.37102413545413016, 1.3910881749130488, 0.12668937339856434, -1.9330408003422854, -0.27492458178326284, 0.1470410150739938, 1.7053192866442526, 0.3550220938911339, 1.1351286155384552, -0.23345857612433685, 0.7819575994081296, 0.3041195265487717, 1.4968091321689596, -1.3226543194248932, -0.35240135281722806, 0.6968553629139653, 0.24506523609463193, 0.5340628292785232, 1.4349375474368373, 0.5213897736719444, 0.004236860782496077, -0.3736418152137777, 1.3798596266399699, -0.931001427004804, 0.15687245476397527, 0.868392303094355, -1.2468753044387562]",6.140061157682068,1,"[0.37102413545413016, 1.3910881749130488, 0.12668937339856434, -1.9330408003422854, -0.27492458178326284, 0.1470410150739938, 1.7053192866442526, 0.3550220938911339, 1.1351286155384552, -0.23345857612433685, 0.7819575994081296, 0.3041195265487717, 1.4968091321689596, -1.3226543194248932, -0.35240135281722806, 0.6968553629139653, 0.24506523609463193, 0.5340628292785232, 1.4349375474368373, 0.5213897736719444, 0.004236860782496077, -0.3736418152137777, 1.3798596266399699, -0.931001427004804, 0.15687245476397527, 0.868392303094355, -1.2468753044387562]"
"[0.5776143347207336, -1.9181527517232397, -0.19735343142062778, -1.6206785462817241, 0.8716434386197909, 1.3899568769228767, -1.68022354933243, 1.1826382015599073, -0.5138519435107503, -1.5276029509057132, 1.1942493411706194, -0.07673166525706776, -1.7430915355833947, 1.8483026650264218, 1.2005257659131385, 0.12795409290654636, 0.7736134759621711, -0.1276188968821821, 0.23430410108765876, 0.12291497770495075, -0.11675519729139894, -0.30831818834584634, -1.06783643884672, -0.7297822976983444, 0.9149231302163434, 0.5916049502568645, -0.6124680479911359]",6.311297953944589,"[0.5776143347207336, -1.9181527517232397, -0.19735343142062778, -1.6206785462817241, 0.8716434386197909, 1.3899568769228767, -1.68022354933243, 1.1826382015599073, -0.5138519435107503, -1.5276029509057132, 1.1942493411706194, -0.07673166525706776, -1.7430915355833947, 1.8483026650264218, 1.2005257659131385, 0.12795409290654636, 0.7736134759621711, -0.1276188968821821, 0.23430410108765876, 0.12291497770495075, -0.11675519729139894, -0.30831818834584634, -1.06783643884672, -0.7297822976983444, 0.9149231302163434, 0.5916049502568645, -0.6124680479911359]",6.311297953944589,2
"[0.5776143347207336, -1.9181527517232397, -0.19735343142062778, -1.6206785462817241, 0.8716434386197909, 1.3899568769228767, -1.68022354933243, 1.1826382015599073, -0.5138519435107503, -1.5276029509057132, 1.1942493411706194, -0.07673166525706776, -1.7430915355833947, 1.8483026650264218, 1.2005257659131385, 0.12795409290654636, 0.7736134759621711, -0.1276188968821821, 0.23430410108765876, 0.12291497770495075, -0.11675519729139894, -0.30831818834584634, -1.06783643884672, -0.7297822976983444, 0.9149231302163434, 0.5916049502568645, -0.6124680479911359]",6.311297953944589,"[0.5776143347207336, -1.9181527517232397, -0.19735343142062778, -1.6206785462817241, 0.8716434386197909, 1.3899568769228767, -1.68022354933243, 1.1826382015599073, -0.5138519435107503, -1.5276029509057132, 1.1942493411706194, -0.07673166525706776, -1.7430915355833947, 1.8483026650264218, 1.2005257659131385, 0.12795409290654636, 0.7736134759621711, -0.1276188968821821, 0.23430410108765876, 0.12291497770495075, -0.11675519729139894, -0.30831818834584634, -1.06783643884672, -0.7297822976983444, 0.9149231302163434, 0.5916049502568645, -0.6124680479911359]",6.311297953944589,3
"[0.5776143347207336, -1.9181527517232397, -0.19735343142062778, -1.6206785462817241, 0.8716434386197909, 1.3899568769228767, -1.68022354933243, 1.1826382015599073, -0.5138519435107503, -1.5276029509057132, 1.1942493411706194, -0.07673166525706776, -1.7430915355833947, 1.8483026650264218, 1.2005257659131385, 0.12795409290654636, 0.7736134759621711, -0.1276188968821821, 0.23430410108765876, 0.12291497770495075, -0.11675519729139894, -0.30831818834584634, -1.06783643884672, -0.7297822976983444, 0.9149231302163434, 0.5916049502568645, -0.6124680479911359]",6.311297953944589,"[0.5776143347207336, -1.9181527517232397, -0.19735343142062778, -1.6206785462817241, 0.8716434386197909, 1.3899568769228767, -1.68022354933243, 1.1826382015599073, -0.5138519435107503, -1.5276029509057132, 1.1942493411706194, -0.07673166525706776, -1.7430915355833947, 1.8483026650264218, 1.2005257659131385, 0.12795409290654636, 0.7736134759621711, -0.1276188968821821, 0.23430410108765876, 0.12291497770495075, -0.11675519729139894, -0.30831818834584634, -1.06783643884672, -0.7297822976983444, 0.9149231302163434, 0.5916049502568645, -0.6124680479911359]",6.311297953944589,4
"[0.5776143347207336, -1.9181527517232397, -0.19735343142062778, -1.6206785462817241, 0.8716434386197909, 1.3899568769228767, -1.68022354933243, 1.1826382015599073, -0.5138519435107503, -1.5276029509057132, 1.1942493411706194, -0.07673166525706776, -1.7430915355833947, 1.8483026650264218, 1.2005257659131385, 0.12795409290654636, 0.7736134759621711, -0.1276188968821821, 0.23430410108765876, 0.12291497770495075, -0.11675519729139894, -0.30831818834584634, -1.06783643884672, -0.7297822976983444, 0.9149231302163434, 0.5916049502568645, -0.6124680479911359]",6.311297953944589,"[0.5776143347207336, -1.9181527517232397, -0.19735343142062778, -1.6206785462817241, 0.8716434386197909, 1.3899568769228767, -1.68022354933243, 1.1826382015599073, -0.5138519435107503, -1.5276029509057132, 1.1942493411706194, -0.07673166525706776, -1.7430915355833947, 1.8483026650264218, 1.2005257659131385, 0.12795409290654636, 0.7736134759621711, -0.1276188968821821, 0.23430410108765876, 0.12291497770495075, -0.11675519729139894, -0.30831818834584634, -1.06783643884672, -0.7297822976983444, 0.9149231302163434, 0.5916049502568645, -0.6124680479911359]",6.311297953944589,5
"[0.5776143347207336, -1.9181527517232397, -0.19735343142062778, -1.6206785462817241, 0.8716434386197909, 1.3899568769228767, -1.68022354933243, 1.1826382015599073, -0.5138519435107503, -1.5276029509057132, 1.1942493411706194, -0.07673166525706776, -1.7430915355833947, 1.8483026650264218, 1.2005257659131385, 0.12795409290654636, 0.7736134759621711, -0.1276188968821821, 0.23430410108765876, 0.12291497770495075, -0.11675519729139894, -0.30831818834584634, -1.06783643884672, -0.7297822976983444, 0.9149231302163434, 0.5916049502568645, -0.6124680479911359]",6.311297953944589,"[0.5776143347207336, -1.9181527517232397, -0.19735343142062778, -1.6206785462817241, 0.8716434386197909, 1.3899568769228767, -1.68022354933243, 1.1826382015599073, -0.5138519435107503, -1.5276029509057132, 1.1942493411706194, -0.07673166525706776, -1.7430915355833947, 1.8483026650264218, 1.2005257659131385, 0.12795409290654636, 0.7736134759621711, -0.1276188968821821, 0.23430410108765876, 0.12291497770495075, -0.11675519729139894, -0.30831818834584634, -1.06783643884672, -0.7297822976983444, 0.9149231302163434, 0.5916049502568645, -0.6124680479911359]",6.311297953944589,6
"[0.5776143347207336, -1.9181527517232397, -0.19735343142062778, -1.6206785462817241, 0.8716434386197909, 1.3899568769228767, -1.68022354933243, 1.1826382015599073, -0.5138519435107503, -1.5276029509057132, 1.1942493411706194, -0.07673166525706776, -1.7430915355833947, 1.8483026650264218, 1.2005257659131385, 0.12795409290654636, 0.7736134759621711, -0.1276188968821821, 0.23430410108765876, 0.12291497770495075, -0.11675519729139894, -0.30831818834584634, -1.06783643884672, -0.7297822976983444, 0.9149231302163434, 0.5916049502568645, -0.6124680479911359]",6.203032122709893,"[0.25940803102376986, 1.8626539585127104, -1.293051087453032, 0.0271445681839646, 1.9748128703061694, -1.5127243007884537, 1.6216157544534848, -0.19050691108795004, 1.5757330175490933, 1.9433934247915472, -0.5355248940616311, -0.5577332215184163, 1.4526014338540918, -1.0924151725694369, 1.355228081950285, 0.6145444965947173, -0.8208399076085355, 0.4324522648284622, 0.5349874020729142, 1.242248202257258, -1.1540628227235126, 1.054768471704436, 0.7868865150168638, 0.6151778350082489, -0.6815900006201978, -0.3057431301020015, -0.7089681577032466]",6.311297953944589,7
"[0.5776143347207336, -1.9181527517232397, -0.19735343142062778, -1.6206785462817241, 0.8716434386197909, 1.3899568769228767, -1.68022354933243, 1.1826382015599073, -0.5138519435107503, -1.5276029509057132, 1.1942493411706194, -0.07673166525706776, -1.7430915355833947, 1.8483026650264218, 1.2005257659131385, 0.12795409290654636, 0.7736134759621711, -0.1276188968821821, 0.23430410108765876, 0.12291497770495075, -0.11675519729139894, -0.30831818834584634, -1.06783643884672, -0.7297822976983444, 0.9149231302163434, 0.5916049502568645, -0.6124680479911359]",6.21216104235975,"[0.25940803102376986, 1.8626539585127104, -1.293051087453032, 0.0271445681839646, 1.9864532332079368, -1.5127243007884537, 1.6216157544534848, -0.19050691108795004, 1.8356093825373918, -0.23345857612433685, 0.7819575994081296, -0.5577332215184163, 1.4526014338540918, -1.0924151725694369, 1.355228081950285, 0.6145444965947173, -0.8208399076085355, 0.4324522648284622, 0.5349874020729142, 1.242248202257258, -1.1540628227235126, 1.054768471704436, 0.7868865150168638, 0.6151778350082489, -0.6815900006201978, 0.13323991159629966, -0.7089681577032466]",6.311297953944589,8
"[0.25940803102376986, 1.8626539585127104, -1.293051087453032, 0.0271445681839646, 1.9748128703061694, -1.5127243007884537, 1.6216157544534848, -0.19050691108795004, 1.5757330175490933, 1.9433934247915472, -0.5355248940616311, -0.5577332215184163, 1.4526014338540918, -1.0924151725694369, 1.355228081950285, 0.6145444965947173, -0.8208399076085355, -0.5651548484732758, 0.4225175562023997, 0.168372134468058, 1.3282240894901656, -0.9779240079822195, -0.3724079579420181, 0.9874594334047027, -0.6815900006201978, -0.3057431301020015, -0.7089681577032466]",6.37412116968328,"[0.25940803102376986, 1.8626539585127104, -1.293051087453032, 0.0271445681839646, 1.9748128703061694, -1.5127243007884537, 1.6216157544534848, -0.19050691108795004, 1.5757330175490933, 1.9433934247915472, -0.5355248940616311, -0.5577332215184163, 1.4526014338540918, -1.0924151725694369, 1.355228081950285, 0.6145444965947173, -0.8208399076085355, -0.5651548484732758, 0.4225175562023997, 0.168372134468058, 1.3282240894901656, -0.9779240079822195, -0.3724079579420181, 0.9874594334047027, -0.6815900006201978, -0.3057431301020015, -0.7089681577032466]",6.37412116968328,9
"[0.46787684914262906, 1.8626539585127104, -1.293051087453032, 0.0271445681839646, 1.9748128703061694, -1.5127243007884537, 1.7053192866442526, 0.3550220938911339, -1.9765160649029045, 1.559742890800078, -1.1928749880728167, 1.7110878101504539, 1.589482477871924, -0.08407588473113181, 1.166202540603956, 1.0331882484461827, 0.6265085263919485, -0.5651548484732758, -0.05478061283558966, 0.168372134468058, 1.3282240894901656, -1.0015658709771922, -0.11111727758017631, -0.510305382607624, -0.19828135705544447, -0.3057431301020015, 1.5248685597249803]",6.508109806195646,"[0.46787684914262906, 1.8626539585127104, -1.293051087453032, 0.0271445681839646, 1.9748128703061694, -1.5127243007884537, 1.7053192866442526, 0.3550220938911339, -1.9765160649029045, 1.559742890800078, -1.1928749880728167, 1.7110878101504539, 1.589482477871924, -0.08407588473113181, 1.166202540603956, 1.0331882484461827, 0.6265085263919485, -0.5651548484732758, -0.05478061283558966, 0.168372134468058, 1.3282240894901656, -1.0015658709771922, -0.11111727758017631, -0.510305382607624, -0.19828135705544447, -0.3057431301020015, 1.5248685597249803]",6.508109806195646,10
