best_fitness,best_fitness_ever,generation,best_iparams_ever,best_params
5.908638526092991,5.908638526092991,1,"[0.9414675803109454, 1.3861797767775976, -1.9832173268449957, 1.4710215734830272, -1.806769852617268, -1.2989221517207996, 1.6614249508976546, 0.00830079246669424, -0.475227923822227, 0.06258823829855631, 1.5840808889472187, -0.5965574498738468, 1.9957516020999506, -1.9509973288385205, -0.2881724362857556, -0.31847863695771883, 0.8260514649437685, 1.2767541069833066, 0.8699469850253028, 0.33052651106594877, 0.42767856633066614, 0.46033403645655957, 1.4463056173535898, -0.4571997829343952, 0.0183689642641367, 1.2735417872612618, 0.283483785533549, 1.217435599320539, -1.9792593732822779, -2.700535727650985, -0.04141379674661971, 0.9372652501503786, -2.9517172278865793, 1.1898960304314388, 2.0042796635521434, 0.3734870072401164, 2.567022136548153, 2.5742003045496356, 0.788287791350327, -2.6185948234327814]","[0.9414675803109454, 1.3861797767775976, -1.9832173268449957, 1.4710215734830272, -1.806769852617268, -1.2989221517207996, 1.6614249508976546, 0.00830079246669424, -0.475227923822227, 0.06258823829855631, 1.5840808889472187, -0.5965574498738468, 1.9957516020999506, -1.9509973288385205, -0.2881724362857556, -0.31847863695771883, 0.8260514649437685, 1.2767541069833066, 0.8699469850253028, 0.33052651106594877, 0.42767856633066614, 0.46033403645655957, 1.4463056173535898, -0.4571997829343952, 0.0183689642641367, 1.2735417872612618, 0.283483785533549, 1.217435599320539, -1.9792593732822779, -2.700535727650985, -0.04141379674661971, 0.9372652501503786, -2.9517172278865793, 1.1898960304314388, 2.0042796635521434, 0.3734870072401164, 2.567022136548153, 2.5742003045496356, 0.788287791350327, -2.6185948234327814]"
2,6.1694435868211475,"[0.7005184851048107, 0.9935320287929872, 0.15524506824832907, -1.0122988659823942, 1.96405523577823, -1.007532802361717, 1.2211709033479594, 1.898587589077191, 1.7480860805002147, 1.5320942786833616, 1.4571812864655729, 0.058979915303853936, -1.7161582034155511, -1.8653643242063902, -0.8232059548486553, -0.4497304055932292, -0.04156506561254969, 0.43890767772350925, 0.9803580611394622, 0.328985165941871, -0.4937733997579967, 0.1580937430893261, -0.7599342926567247, -0.544208814930931, 0.11217353836527844, 0.6377338676561735, -1.2794561748793913, 0.9237310595211072, -1.739866913949797, -0.14040845046219985, -1.5758117810578562, 0.8869081104108227, -1.7534881121703048, -3.0693398106641734, -0.7159072425679605, -2.800348215966651, 1.888798325298529, 2.037419880676971, -1.9022288839798005, -2.6274724420809052]","[0.7005184851048107, 0.9935320287929872, 0.15524506824832907, -1.0122988659823942, 1.96405523577823, -1.007532802361717, 1.2211709033479594, 1.898587589077191, 1.7480860805002147, 1.5320942786833616, 1.4571812864655729, 0.058979915303853936, -1.7161582034155511, -1.8653643242063902, -0.8232059548486553, -0.4497304055932292, -0.04156506561254969, 0.43890767772350925, 0.9803580611394622, 0.328985165941871, -0.4937733997579967, 0.1580937430893261, -0.7599342926567247, -0.544208814930931, 0.11217353836527844, 0.6377338676561735, -1.2794561748793913, 0.9237310595211072, -1.739866913949797, -0.14040845046219985, -1.5758117810578562, 0.8869081104108227, -1.7534881121703048, -3.0693398106641734, -0.7159072425679605, -2.800348215966651, 1.888798325298529, 2.037419880676971, -1.9022288839798005, -2.6274724420809052]",6.1694435868211475
3,6.187293354560612,"[0.7093947807097245, -1.3419359861672198, 0.6217178372755718, 1.0135928006506747, -1.9464908023077476, 1.8940015851917962, -0.8793071829364183, 1.97885102955741, 1.9280338590011872, 1.6213707514608817, -0.31479375723463665, 1.2386359107029046, 1.7223054622799476, -0.5722756377237563, 0.835141967224144, -0.4687610277332508, -1.328059852218719, 0.03848050903476219, -0.7597469147473471, 1.3560265068292532, -0.7792397280460432, -0.7071735104920004, 0.7898125326611272, -0.5895530082114455, -1.5182066943611645, -0.21592526160538617, 0.11548574318321125, -2.0664452616493794, -3.0704619985654182, 2.583989785996403, 1.4922597347160407, 0.1322115853256416, -3.082670707615917, -1.8465271417324483, -1.8357317538831763, -2.9893231181715363, -0.7143888410548622, -1.6461744362391837, -0.37279065957660595, 1.5134735333200862]","[0.7093947807097245, -1.3419359861672198, 0.6217178372755718, 1.0135928006506747, -1.9464908023077476, 1.8940015851917962, -0.8793071829364183, 1.97885102955741, 1.9280338590011872, 1.6213707514608817, -0.31479375723463665, 1.2386359107029046, 1.7223054622799476, -0.5722756377237563, 0.835141967224144, -0.4687610277332508, -1.328059852218719, 0.03848050903476219, -0.7597469147473471, 1.3560265068292532, -0.7792397280460432, -0.7071735104920004, 0.7898125326611272, -0.5895530082114455, -1.5182066943611645, -0.21592526160538617, 0.11548574318321125, -2.0664452616493794, -3.0704619985654182, 2.583989785996403, 1.4922597347160407, 0.1322115853256416, -3.082670707615917, -1.8465271417324483, -1.8357317538831763, -2.9893231181715363, -0.7143888410548622, -1.6461744362391837, -0.37279065957660595, 1.5134735333200862]",6.187293354560612
4,6.081266379340078,"[0.7093947807097245, -1.3419359861672198, 0.6217178372755718, 1.0135928006506747, -1.9464908023077476, 1.8940015851917962, -0.8793071829364183, 1.97885102955741, 1.9280338590011872, 1.6213707514608817, -0.31479375723463665, 1.2386359107029046, 1.7223054622799476, -0.5722756377237563, 0.835141967224144, -0.4687610277332508, -1.328059852218719, 0.03848050903476219, -0.7597469147473471, 1.3560265068292532, -0.7792397280460432, -0.7071735104920004, 0.7898125326611272, -0.5895530082114455, -1.5182066943611645, -0.21592526160538617, 0.11548574318321125, -2.0664452616493794, -3.0704619985654182, 2.583989785996403, 1.4922597347160407, 0.1322115853256416, -3.082670707615917, -1.8465271417324483, -1.8357317538831763, -2.9893231181715363, -0.7143888410548622, -1.6461744362391837, -0.37279065957660595, 1.5134735333200862]","[0.5188598843630121, -0.16599412136203062, 0.29216038026364277, 1.4445388880099332, 1.3825639100036584, 1.6489651117739283, -0.7800396768186844, 1.97885102955741, 1.9280338590011872, 1.6213707514608817, -0.31479375723463665, 1.2386359107029046, 1.7223054622799476, -0.5722756377237563, 0.835141967224144, -0.4687610277332508, -0.7842743056943026, -0.6334551954175893, -0.8745375051496882, 0.8651714886592257, 1.1098503922650735, -1.4397896122126965, 0.9847446346559927, -0.7344298096686621, 0.12957197114310692, 0.39396131815462176, -0.5930653531113048, 0.01717340569348469, 2.572071487653364, 0.18298945332942518, 1.8200285598401835, -1.160785272219514, 1.7277049683583217, 0.3455178470573612, 2.7444273808112802, -1.0554430129957328, -0.8141896362856289, 1.3674043051139826, 1.7073406805155544, 0.4465250498725202]",6.187293354560612
5,6.087310586996994,"[0.7093947807097245, -1.3419359861672198, 0.6217178372755718, 1.0135928006506747, -1.9464908023077476, 1.8940015851917962, -0.8793071829364183, 1.97885102955741, 1.9280338590011872, 1.6213707514608817, -0.31479375723463665, 1.2386359107029046, 1.7223054622799476, -0.5722756377237563, 0.835141967224144, -0.4687610277332508, -1.328059852218719, 0.03848050903476219, -0.7597469147473471, 1.3560265068292532, -0.7792397280460432, -0.7071735104920004, 0.7898125326611272, -0.5895530082114455, -1.5182066943611645, -0.21592526160538617, 0.11548574318321125, -2.0664452616493794, -3.0704619985654182, 2.583989785996403, 1.4922597347160407, 0.1322115853256416, -3.082670707615917, -1.8465271417324483, -1.8357317538831763, -2.9893231181715363, -0.7143888410548622, -1.6461744362391837, -0.37279065957660595, 1.5134735333200862]","[0.792637075294669, 1.7336787264654596, 1.4958514695403196, 0.12105492217901137, -0.423313773644697, 0.3586375667317978, 1.256783689586844, 1.561282149228425, -1.3420059811058382, 0.13511236237011515, 1.7837856062413024, -0.4624488089684373, 1.08736270504098, 0.4217719000431672, 0.7449850583298718, -0.14559423694556517, -0.30773882718006074, 0.9915390847611438, 0.13168316549697145, 0.8741358965049222, 0.0818870858577439, 0.20043027791376833, -0.3711967417111041, 0.4198771338652032, 1.38313238198158, -0.39486537757496976, -1.0086645905342526, -1.3027109659751583, 2.2230633896916814, -2.979352973300977, 1.0034502078885605, -0.14275363475219738, 0.5170239832979568, -1.0090868006405151, -2.759557496526051, -0.8470114486251004, 2.6831010108449833, 2.470559291932606, -0.13115983292549815, -2.4083516328636776]",6.187293354560612
6,6.217876762920807,"[0.7093947807097245, -1.3419359861672198, 0.6217178372755718, 1.0135928006506747, -0.8407724336791662, 1.8940015851917962, -0.8793071829364183, 1.97885102955741, 0.6550421664314281, 1.7346406601513076, -0.48298283054714775, 0.30458373667495, 1.08736270504098, 0.4217719000431672, 0.7449850583298718, -0.14559423694556517, -0.30773882718006074, 0.9915390847611438, 0.13168316549697145, 0.8741358965049222, 0.08710574107385805, 0.20043027791376833, -0.3755790694924215, 0.4198771338652032, 1.38313238198158, -0.39486537757496976, -1.0086645905342526, -0.3390381014758419, -2.9821469243361896, -0.6958905195182932, 1.4922597347160407, 0.1322115853256416, -3.082670707615917, -1.8465271417324483, -1.8357317538831763, -0.4715433591620708, -0.9946364304020561, -1.0916128900283777, -0.37279065957660595, 1.5134735333200862]","[0.7093947807097245, -1.3419359861672198, 0.6217178372755718, 1.0135928006506747, -0.8407724336791662, 1.8940015851917962, -0.8793071829364183, 1.97885102955741, 0.6550421664314281, 1.7346406601513076, -0.48298283054714775, 0.30458373667495, 1.08736270504098, 0.4217719000431672, 0.7449850583298718, -0.14559423694556517, -0.30773882718006074, 0.9915390847611438, 0.13168316549697145, 0.8741358965049222, 0.08710574107385805, 0.20043027791376833, -0.3755790694924215, 0.4198771338652032, 1.38313238198158, -0.39486537757496976, -1.0086645905342526, -0.3390381014758419, -2.9821469243361896, -0.6958905195182932, 1.4922597347160407, 0.1322115853256416, -3.082670707615917, -1.8465271417324483, -1.8357317538831763, -0.4715433591620708, -0.9946364304020561, -1.0916128900283777, -0.37279065957660595, 1.5134735333200862]",6.217876762920807
7,6.217876762920807,"[0.7093947807097245, -1.3419359861672198, 0.6217178372755718, 1.0135928006506747, -0.8407724336791662, 1.8940015851917962, -0.8793071829364183, 1.97885102955741, 0.6550421664314281, 1.7346406601513076, -0.48298283054714775, 0.30458373667495, 1.08736270504098, 0.4217719000431672, 0.7449850583298718, -0.14559423694556517, -0.30773882718006074, 0.9915390847611438, 0.13168316549697145, 0.8741358965049222, 0.08710574107385805, 0.20043027791376833, -0.3755790694924215, 0.4198771338652032, 1.38313238198158, -0.39486537757496976, -1.0086645905342526, -0.3390381014758419, -2.9821469243361896, -0.6958905195182932, 1.4922597347160407, 0.1322115853256416, -3.082670707615917, -1.8465271417324483, -1.8357317538831763, -0.4715433591620708, -0.9946364304020561, -1.0916128900283777, -0.37279065957660595, 1.5134735333200862]","[0.7093947807097245, -1.3419359861672198, 0.6217178372755718, 1.0135928006506747, -0.8407724336791662, 1.8940015851917962, -0.8793071829364183, 1.97885102955741, 0.6550421664314281, 1.7346406601513076, -0.48298283054714775, 0.30458373667495, 1.08736270504098, 0.4217719000431672, 0.7449850583298718, -0.14559423694556517, -0.30773882718006074, 0.9915390847611438, 0.13168316549697145, 0.8741358965049222, 0.08710574107385805, 0.20043027791376833, -0.3755790694924215, 0.4198771338652032, 1.38313238198158, -0.39486537757496976, -1.0086645905342526, -0.3390381014758419, -2.9821469243361896, -0.6958905195182932, 1.4922597347160407, 0.1322115853256416, -3.082670707615917, -1.8465271417324483, -1.8357317538831763, -0.4715433591620708, -0.9946364304020561, -1.0916128900283777, -0.37279065957660595, 1.5134735333200862]",6.217876762920807
8,6.263430805927397,"[0.7093947807097245, -1.3419359861672198, 0.6217178372755718, 1.0135928006506747, -0.8407724336791662, 1.8940015851917962, -0.8793071829364183, 1.97885102955741, 0.6550421664314281, 1.7346406601513076, -0.31479375723463665, 1.2386359107029046, 1.08736270504098, 0.4217719000431672, 0.7449850583298718, -0.14559423694556517, -0.30773882718006074, 0.9915390847611438, 0.13168316549697145, 0.8741358965049222, 0.08710574107385805, 0.20043027791376833, -0.3755790694924215, 0.4198771338652032, 1.38313238198158, -0.39486537757496976, -1.0086645905342526, -0.3390381014758419, -2.9821469243361896, -0.6958905195182932, 1.4922597347160407, 0.1322115853256416, -3.082670707615917, -1.8465271417324483, -1.8357317538831763, -0.4715433591620708, -0.9946364304020561, -1.0916128900283777, -0.37279065957660595, 1.5134735333200862]","[0.7093947807097245, -1.3419359861672198, 0.6217178372755718, 1.0135928006506747, -0.8407724336791662, 1.8940015851917962, -0.8793071829364183, 1.97885102955741, 0.6550421664314281, 1.7346406601513076, -0.31479375723463665, 1.2386359107029046, 1.08736270504098, 0.4217719000431672, 0.7449850583298718, -0.14559423694556517, -0.30773882718006074, 0.9915390847611438, 0.13168316549697145, 0.8741358965049222, 0.08710574107385805, 0.20043027791376833, -0.3755790694924215, 0.4198771338652032, 1.38313238198158, -0.39486537757496976, -1.0086645905342526, -0.3390381014758419, -2.9821469243361896, -0.6958905195182932, 1.4922597347160407, 0.1322115853256416, -3.082670707615917, -1.8465271417324483, -1.8357317538831763, -0.4715433591620708, -0.9946364304020561, -1.0916128900283777, -0.37279065957660595, 1.5134735333200862]",6.263430805927397
9,6.341392010723622,"[0.7093947807097245, -1.3419359861672198, 0.6217178372755718, 1.0135928006506747, -0.6113785839307893, 1.9095761064009134, -0.9093051239537293, -1.5300040187715083, 0.6550421664314281, 1.7346406601513076, -0.48298283054714775, 0.30458373667495, 1.08736270504098, 0.4217719000431672, 0.7449850583298718, -0.14559423694556517, -0.30773882718006074, 0.9915390847611438, 0.13168316549697145, 0.8741358965049222, 0.08710574107385805, 0.20043027791376833, -0.3755790694924215, 0.4198771338652032, 1.38313238198158, -0.39486537757496976, -0.1134329881325149, -0.3390381014758419, -2.9821469243361896, -0.6958905195182932, 1.4922597347160407, 0.1322115853256416, -3.082670707615917, -1.8465271417324483, -2.4171833780872527, 2.426950258753121, 2.567022136548153, -1.6461744362391837, -0.37279065957660595, 1.5134735333200862]","[0.7093947807097245, -1.3419359861672198, 0.6217178372755718, 1.0135928006506747, -0.6113785839307893, 1.9095761064009134, -0.9093051239537293, -1.5300040187715083, 0.6550421664314281, 1.7346406601513076, -0.48298283054714775, 0.30458373667495, 1.08736270504098, 0.4217719000431672, 0.7449850583298718, -0.14559423694556517, -0.30773882718006074, 0.9915390847611438, 0.13168316549697145, 0.8741358965049222, 0.08710574107385805, 0.20043027791376833, -0.3755790694924215, 0.4198771338652032, 1.38313238198158, -0.39486537757496976, -0.1134329881325149, -0.3390381014758419, -2.9821469243361896, -0.6958905195182932, 1.4922597347160407, 0.1322115853256416, -3.082670707615917, -1.8465271417324483, -2.4171833780872527, 2.426950258753121, 2.567022136548153, -1.6461744362391837, -0.37279065957660595, 1.5134735333200862]",6.341392010723622
10,6.5286938065618685,"[0.792637075294669, 1.7336787264654596, 1.4958514695403196, 0.12105492217901137, -0.423313773644697, 0.3586375667317978, 1.256783689586844, 1.561282149228425, -1.3420059811058382, 0.13511236237011515, 1.7837856062413024, -0.4624488089684373, 1.08736270504098, 1.6718756811299627, 0.835141967224144, -0.4687610277332508, -0.7842743056943026, -0.6334551954175893, -0.8745375051496882, 0.8651714886592257, 1.1098503922650735, 0.6634783069050814, -1.0238146295026413, 0.07166105613230411, -1.093245387089748, 0.19534338638585313, 0.2516342724623377, 0.01717340569348469, 2.572071487653364, 0.18298945332942518, 1.9401076123268544, -0.14275363475219738, 0.5170239832979568, -1.0090868006405151, -2.759557496526051, -0.8470114486251004, 2.6831010108449833, 2.470559291932606, -0.13115983292549815, -2.4083516328636776]","[0.792637075294669, 1.7336787264654596, 1.4958514695403196, 0.12105492217901137, -0.423313773644697, 0.3586375667317978, 1.256783689586844, 1.561282149228425, -1.3420059811058382, 0.13511236237011515, 1.7837856062413024, -0.4624488089684373, 1.08736270504098, 1.6718756811299627, 0.835141967224144, -0.4687610277332508, -0.7842743056943026, -0.6334551954175893, -0.8745375051496882, 0.8651714886592257, 1.1098503922650735, 0.6634783069050814, -1.0238146295026413, 0.07166105613230411, -1.093245387089748, 0.19534338638585313, 0.2516342724623377, 0.01717340569348469, 2.572071487653364, 0.18298945332942518, 1.9401076123268544, -0.14275363475219738, 0.5170239832979568, -1.0090868006405151, -2.759557496526051, -0.8470114486251004, 2.6831010108449833, 2.470559291932606, -0.13115983292549815, -2.4083516328636776]",6.5286938065618685
11,6.5286938065618685,"[0.792637075294669, 1.7336787264654596, 1.4958514695403196, 0.12105492217901137, -0.423313773644697, 0.3586375667317978, 1.256783689586844, 1.561282149228425, -1.3420059811058382, 0.13511236237011515, 1.7837856062413024, -0.4624488089684373, 1.08736270504098, 1.6718756811299627, 0.835141967224144, -0.4687610277332508, -0.7842743056943026, -0.6334551954175893, -0.8745375051496882, 0.8651714886592257, 1.1098503922650735, 0.6634783069050814, -1.0238146295026413, 0.07166105613230411, -1.093245387089748, 0.19534338638585313, 0.2516342724623377, 0.01717340569348469, 2.572071487653364, 0.18298945332942518, 1.9401076123268544, -0.14275363475219738, 0.5170239832979568, -1.0090868006405151, -2.759557496526051, -0.8470114486251004, 2.6831010108449833, 2.470559291932606, -0.13115983292549815, -2.4083516328636776]","[0.792637075294669, 1.7336787264654596, 1.4958514695403196, 0.12105492217901137, -0.423313773644697, 0.3586375667317978, 1.256783689586844, 1.561282149228425, -1.3420059811058382, 0.13511236237011515, 1.7837856062413024, -0.4624488089684373, 1.08736270504098, 1.6718756811299627, 0.835141967224144, -0.4687610277332508, -0.7842743056943026, -0.6334551954175893, -0.8745375051496882, 0.8651714886592257, 1.1098503922650735, 0.6634783069050814, -1.0238146295026413, 0.07166105613230411, -1.093245387089748, 0.19534338638585313, 0.2516342724623377, 0.01717340569348469, 2.572071487653364, 0.18298945332942518, 1.9401076123268544, -0.14275363475219738, 0.5170239832979568, -1.0090868006405151, -2.759557496526051, -0.8470114486251004, 2.6831010108449833, 2.470559291932606, -0.13115983292549815, -2.4083516328636776]",6.5286938065618685
12,6.481043755532972,"[0.792637075294669, 1.7336787264654596, 1.4958514695403196, 0.12105492217901137, -0.423313773644697, 0.3586375667317978, 1.256783689586844, 1.561282149228425, -1.3420059811058382, 0.13511236237011515, 1.7837856062413024, -0.4624488089684373, 1.08736270504098, 1.6718756811299627, 0.835141967224144, -0.4687610277332508, -0.7842743056943026, -0.6334551954175893, -0.8745375051496882, 0.8651714886592257, 1.1098503922650735, 0.6634783069050814, -1.0238146295026413, 0.07166105613230411, -1.093245387089748, 0.19534338638585313, 0.2516342724623377, 0.01717340569348469, 2.572071487653364, 0.18298945332942518, 1.9401076123268544, -0.14275363475219738, 0.5170239832979568, -1.0090868006405151, -2.759557496526051, -0.8470114486251004, 2.6831010108449833, 2.470559291932606, -0.13115983292549815, -2.4083516328636776]","[0.792637075294669, 1.7336787264654596, 1.4958514695403196, 0.12105492217901137, -0.423313773644697, 0.3586375667317978, 1.256783689586844, 1.561282149228425, -1.3420059811058382, 0.13511236237011515, 1.7837856062413024, -0.4624488089684373, 1.08736270504098, -0.5722756377237563, 0.835141967224144, -0.4687610277332508, -1.0181893780204452, 1.2281043498562396, 0.13168316549697145, 0.8741358965049222, 0.08710574107385805, 0.20043027791376833, -1.4524275626628733, 0.031423632920919875, 0.17564136544406228, -0.3956737275621409, 0.2516342724623377, 0.01717340569348469, 2.572071487653364, 0.18298945332942518, 1.9401076123268544, -0.14275363475219738, 0.5170239832979568, -1.0090868006405151, -2.759557496526051, -0.8470114486251004, 2.6831010108449833, 2.470559291932606, -0.13115983292549815, -2.4083516328636776]",6.5286938065618685
13,6.506440856254873,"[0.792637075294669, 1.7336787264654596, 1.4958514695403196, 0.12105492217901137, -0.423313773644697, 0.3586375667317978, 1.256783689586844, 1.561282149228425, -1.3420059811058382, 0.13511236237011515, 1.7837856062413024, -0.4624488089684373, 1.08736270504098, 1.6718756811299627, 0.835141967224144, -0.4687610277332508, -0.7842743056943026, -0.6334551954175893, -0.8745375051496882, 0.8651714886592257, 1.1098503922650735, 0.6634783069050814, -1.0238146295026413, 0.07166105613230411, -1.093245387089748, 0.19534338638585313, 0.2516342724623377, 0.01717340569348469, 2.572071487653364, 0.18298945332942518, 1.9401076123268544, -0.14275363475219738, 0.5170239832979568, -1.0090868006405151, -2.759557496526051, -0.8470114486251004, 2.6831010108449833, 2.470559291932606, -0.13115983292549815, -2.4083516328636776]","[0.792637075294669, 1.7336787264654596, 1.4958514695403196, 0.12105492217901137, -0.423313773644697, 0.3586375667317978, 1.256783689586844, 1.561282149228425, -1.3420059811058382, 0.13511236237011515, 1.7837856062413024, -0.4624488089684373, 1.08736270504098, -0.5722756377237563, 0.835141967224144, -0.4687610277332508, -1.0181893780204452, 1.2281043498562396, 0.13168316549697145, 0.8741358965049222, 0.08710574107385805, 0.20043027791376833, -0.3755790694924215, 0.031423632920919875, 0.17564136544406228, -0.3956737275621409, 0.2516342724623377, 0.01717340569348469, 2.572071487653364, 0.18298945332942518, 1.9401076123268544, -0.14275363475219738, 0.5170239832979568, -1.0090868006405151, -2.759557496526051, -0.8470114486251004, 2.6831010108449833, 2.470559291932606, -0.13115983292549815, -2.4083516328636776]",6.5286938065618685
